name,platform,metascore,userscore,developer,genre
The Witcher 3: Wild Hunt - Blood and Wine,"

                                                        PC
                                                    
",92,"
9.1
","
CD Projekt Red Studio ",Role-PlayingAction RPG
Overwatch,"

                                                        PC
                                                    
",91,"
6.4
","
Blizzard Entertainment ",GeneralActionShooterFirst-PersonTactical
Overwatch,"

                                                        Xbox One
                                                    
",91,"
5.9
","
Blizzard Entertainment ",ActionShooterFirst-PersonTactical
Forza Horizon 3,"

                                                        Xbox One
                                                    
",91,"
8.1
","
Playground Games ",RacingSimulationAutomobile
The Witcher 3: Wild Hunt - Blood and Wine,"

                                                        PlayStation 4
                                                    
",91,"
9.1
","
CD Projekt Red Studio ",Role-PlayingAction RPG
INSIDE,"

                                                        PlayStation 4
                                                    
",91,"
8.5
","
PLAYDEAD ",ActionPlatformer2D
Overwatch,"

                                                        PlayStation 4
                                                    
",90,"
6.4
","
Blizzard Entertainment ",ActionShooterFirst-PersonTactical
Stephen's Sausage Roll,"

                                                        PC
                                                    
",90,"
5.5
","
increpare ",PuzzleActionGeneral
NBA 2K17,"

                                                        Xbox One
                                                    
",90,"
5.9
","
Visual Concepts ",SportsTeamBasketballSim
Kentucky Route Zero - Act IV,"

                                                        PC
                                                    
",90,"
6.3
","
Cardboard Computer ",AdventureGeneral
Dark Souls III,"

                                                        PC
                                                    
",89,"
8.6
","
From Software ",Role-PlayingAction RPG
Rez Infinite,"

                                                        PlayStation 4
                                                    
",89,"
7.5
","
Q Entertainment, Monstars Inc., Enhance Games ",ActionShooterRail
Axiom Verge,"

                                                        Wii U
                                                    
",89,"
8.5
","
Tom Happ ",ActionAction AdventureGeneralPlatformerMetroidvania
Titanfall 2,"

                                                        PlayStation 4
                                                    
",89,"
8.6
","
Respawn Entertainment ",ActionShooterFirst-PersonArcade
Dark Souls III,"

                                                        PlayStation 4
                                                    
",89,"
9.0
","
From Software ",Role-PlayingAction RPG
Stardew Valley,"

                                                        Xbox One
                                                    
",89,"
7.8
","
Sickhead Games, LLC, Eric Barone, Sickhead Games ",Role-PlayingGeneral
Battlefield 1,"

                                                        PlayStation 4
                                                    
",89,"
7.9
","
EA DICE ",ActionGeneralShooterFirst-PersonTactical
Stardew Valley,"

                                                        PC
                                                    
",89,"
8.8
","
Eric Barone, ConcernedApe ",GeneralRole-PlayingGeneral
Ori and the Blind Forest: Definitive Edition,"

                                                        Xbox One
                                                    
",88,"
8.1
","
Moon Studios ",ActionPlatformer2DMetroidvania
Dishonored 2,"

                                                        Xbox One
                                                    
",88,"
8.9
","
Arkane Studios ",Action AdventureGeneral
Rise of the Tomb Raider: 20 Year Celebration,"

                                                        PlayStation 4
                                                    
",88,"
8.0
","
Crystal Dynamics, Nixxes Software ",Action AdventureLinear
NBA 2K17,"

                                                        PlayStation 4
                                                    
",88,"
6.3
","
Visual Concepts ",SportsTeamBasketballSim
XCOM 2,"

                                                        PC
                                                    
",88,"
7.3
","
Firaxis Games ",StrategyTurn-BasedGeneralTactics
Dishonored 2,"

                                                        PlayStation 4
                                                    
",88,"
8.5
","
Arkane Studios ",Action AdventureGeneral
Fire Emblem Fates: Special Edition,"

                                                        3DS
                                                    
",88,"
7.9
","
Intelligent Systems ",StrategyTurn-BasedTactics
Ori and the Blind Forest: Definitive Edition,"

                                                        PC
                                                    
",88,"
8.7
","
Moon Studios ",ActionPlatformer2DMetroidvania
Fire Emblem Fates: Revelation,"

                                                        3DS
                                                    
",88,"
7.3
","
Intelligent Systems ",StrategyTurn-BasedTactics
Sid Meier's Civilization VI,"

                                                        PC
                                                    
",88,"
7.0
","
Firaxis Games ",StrategyTurn-Based4X
Battlefield 1,"

                                                        PC
                                                    
",88,"
7.2
","
EA DICE ",GeneralActionShooterFirst-PersonTactical
World of Warcraft: Legion,"

                                                        PC
                                                    
",88,"
7.6
","
Blizzard Entertainment ",Role-PlayingMiscellaneousMassively MultiplayerBoard / Card Game
Keep Talking and Nobody Explodes,"

                                                        PlayStation 4
                                                    
",88,"
7.3
","
Steel Crate Games ",Adventure3DFirst-Person
Owlboy,"

                                                        PC
                                                    
",88,"
7.6
","
D-Pad Studio ",FantasyAction AdventureGeneral
XCOM 2,"

                                                        PlayStation 4
                                                    
",87,"
7.2
","
Firaxis Games ",StrategyTurn-BasedGeneralTactics
The Witness,"

                                                        PlayStation 4
                                                    
",87,"
7.5
","
Thekla, Inc ",MiscellaneousGeneralGeneralPuzzlePuzzleAdventure3DFirst-Person
DOOM,"

                                                        Xbox One
                                                    
",87,"
8.5
","
id Software ",Sci-FiActionShooterFirst-PersonThird-PersonArcade
Battlefield 1,"

                                                        Xbox One
                                                    
",87,"
7.6
","
EA DICE ",ActionGeneralShooterFirst-PersonTactical
Dark Souls III,"

                                                        Xbox One
                                                    
",87,"
9.1
","
From Software ",Role-PlayingAction RPG
Pokemon Sun,"

                                                        3DS
                                                    
",87,"
7.6
","
Game Freak ",Role-PlayingTrainer
Pokemon Moon,"

                                                        3DS
                                                    
",87,"
7.6
","
Game Freak ",Role-PlayingTrainer
The Witness,"

                                                        PC
                                                    
",87,"
7.3
","
Thekla, Inc ",MiscellaneousPuzzleGeneralGeneralPuzzlePuzzleAdventure3DFirst-Person
Fire Emblem Fates: Conquest,"

                                                        3DS
                                                    
",87,"
8.0
","
Intelligent Systems ",FantasyStrategyTurn-BasedTactics
Rocket League,"

                                                        Xbox One
                                                    
",87,"
8.0
","
Psyonix, Panic Button ",SportsTeamSoccerArcade
SteamWorld Heist,"

                                                        Wii U
                                                    
",87,"
8.0
","
Image & Form ",StrategyTurn-BasedGeneral
Pro Evolution Soccer 2017,"

                                                        Xbox One
                                                    
",87,"
5.9
","
Konami ",SportsTeamSoccerSim
Titanfall 2,"

                                                        Xbox One
                                                    
",87,"
8.8
","
Respawn Entertainment ",ActionShooterFirst-PersonArcade
Odin Sphere Leifthrasir,"

                                                        PlayStation 4
                                                    
",87,"
8.2
","
Vanillaware ",Role-PlayingAction RPG
Forza Horizon 3: Blizzard Mountain,"

                                                        Xbox One
                                                    
",87,"
7.8
","
Playground Games ",RacingSimulationAutomobile
INSIDE,"

                                                        PC
                                                    
",87,"
8.6
","
PLAYDEAD ",ActionPlatformer2D
XCOM 2,"

                                                        Xbox One
                                                    
",87,"
7.5
","
Firaxis Games ",StrategyTurn-BasedGeneralTactics
Hex: Shards of Fate,"

                                                        PC
                                                    
",87,"
6.3
","
Cryptozoic Entertainment, Hex Entertainment ",MiscellaneousCard BattleStrategyTurn-BasedCard Battle
Forza Horizon 3,"

                                                        PC
                                                    
",86,"
7.1
","
Playground Games ",RacingSimulationAutomobile
The Witness,"

                                                        Xbox One
                                                    
",86,"
7.5
","
Thekla, Inc ",Adventure3DFirst-Person
DiRT Rally,"

                                                        Xbox One
                                                    
",86,"
8.0
","
Codemasters ",RacingSimulationAutomobile
Killer Instinct Season 3,"

                                                        Xbox One
                                                    
",86,"
6.6
","
Iron Galaxy Studios ",ActionFighting2D
Stardew Valley,"

                                                        PlayStation 4
                                                    
",86,"
8.0
","
Sickhead Games, LLC, Eric Barone, Sickhead Games ",Role-PlayingGeneral
Rise of the Tomb Raider,"

                                                        PC
                                                    
",86,"
7.9
","
Crystal Dynamics, Nixxes Software ",Action AdventureGeneralLinear
Total War: WARHAMMER,"

                                                        PC
                                                    
",86,"
7.4
","
Creative Assembly ",StrategyTurn-BasedGeneral
Picross 3D: Round 2,"

                                                        3DS
                                                    
",86,"
7.6
","
HAL Labs ",PuzzleLogic
Gears of War 4,"

                                                        PC
                                                    
",86,"
6.8
","
The Coalition ",ActionShooterThird-PersonArcade
Guilty Gear Xrd -REVELATOR-,"

                                                        PlayStation 4
                                                    
",86,"
8.1
","
Arc System Works ",ActionFighting2D
Dishonored 2,"

                                                        PC
                                                    
",86,"
8.0
","
Arkane Studios ",Action AdventureGeneral
F1 2016,"

                                                        PC
                                                    
",86,"
7.8
","
Codemasters ",RacingSimulationAutomobile
Pony Island,"

                                                        PC
                                                    
",86,"
7.4
","
Daniel Mullins Games ",PuzzleGeneral
Thumper,"

                                                        PC
                                                    
",86,"
7.3
","
drool Games, Drool ",ActionRhythmMusic
Titanfall 2,"

                                                        PC
                                                    
",86,"
8.6
","
Respawn Entertainment ",ActionShooterFirst-PersonArcade
Dying Light: The Following,"

                                                        Xbox One
                                                    
",86,"
8.3
","
Techland ",Action AdventureSurvival
Day of the Tentacle Remastered,"

                                                        PC
                                                    
",86,"
7.9
","
Double Fine Productions ",AdventurePoint-and-Click
Fire Emblem Fates: Birthright,"

                                                        3DS
                                                    
",86,"
8.0
","
Intelligent Systems ",StrategyTurn-BasedTactics
The Legend of Zelda: Twilight Princess HD,"

                                                        Wii U
                                                    
",86,"
8.6
","
Tantalus, Tantatus, Nintendo ",Action AdventureGeneralOpen-World
Monster Hunter Generations,"

                                                        3DS
                                                    
",85,"
8.0
","
Capcom ",Role-PlayingAction RPG
DiRT Rally,"

                                                        PlayStation 4
                                                    
",85,"
7.9
","
Codemasters ",RacingSimulationAutomobile
Crypt of the NecroDancer,"

                                                        PlayStation 4
                                                    
",85,"
6.6
","
Brace Yourself Games ",ActionRole-PlayingRhythmGeneralAction RPGMusic
Hearthstone: Heroes of Warcraft - Whispers of the Old Gods,"

                                                        PC
                                                    
",85,"
4.9
","
Blizzard Entertainment ",StrategyTurn-BasedCard Battle
Firewatch,"

                                                        Xbox One
                                                    
",85,"
5.7
","
Campo Santo ",Adventure3DFirst-Person
BlazBlue: Chrono Phantasma Extend,"

                                                        PC
                                                    
",85,"
7.8
","
Arc System Works ",ActionFighting2D
DOOM,"

                                                        PlayStation 4
                                                    
",85,"
8.4
","
id Software ",Sci-FiThird-PersonActionShooterFirst-PersonArcade
Shadow Tactics: Blades of the Shogun,"

                                                        PC
                                                    
",85,"
8.5
","
Mimimi Productions, Mimimi Games ",StrategyReal-TimeTactics
Pro Evolution Soccer 2017,"

                                                        PlayStation 4
                                                    
",85,"
7.3
","
Konami ",SportsTeamSoccerSim
F1 2016,"

                                                        Xbox One
                                                    
",85,"
7.8
","
Codemasters ",RacingSimulationAutomobile
Assault Android Cactus,"

                                                        PlayStation 4
                                                    
",85,"
6.3
","
Witch Beam ",GeneralScrollingActionShooterShoot-'Em-UpTop-Down
Mortal Kombat XL,"

                                                        PlayStation 4
                                                    
",85,"
7.6
","
NetherRealm Studios ",ActionFighting2D
Ratchet & Clank,"

                                                        PlayStation 4
                                                    
",85,"
8.4
","
Insomniac Games ",ActionPlatformer3D
MLB The Show 16,"

                                                        PlayStation 4
                                                    
",85,"
7.3
","
SCEA San Diego Studios ",SportsTeamBaseballArcadeSim
The Last Door: Season 2,"

                                                        PC
                                                    
",85,"
7.3
","
The Game Kitchen ",AdventurePoint-and-Click
Chime Sharp,"

                                                        PC
                                                    
",85,"
4.8
","
Twistplay, Ste Curran ",PuzzleGeneral
FIFA 17,"

                                                        PlayStation 4
                                                    
",85,"
5.0
","
EA Sports, EA Vancouver ",SportsTeamSoccerSim
DOOM,"

                                                        PC
                                                    
",85,"
8.5
","
id Software ",Sci-FiActionShooterFirst-PersonThird-PersonArcade
Gone Home: Console Edition,"

                                                        PlayStation 4
                                                    
",85,"
4.6
","
The Fullbright Company, Midnight City ",Adventure3DFirst-Person
Valkyria Chronicles Remastered,"

                                                        PlayStation 4
                                                    
",84,"
8.2
","
Sega ",StrategyTurn-BasedTactics
Planet Coaster,"

                                                        PC
                                                    
",84,"
7.7
","
Frontier Developments ",StrategyManagementBusiness / Tycoon
FIFA 17,"

                                                        Xbox One
                                                    
",84,"
5.3
","
EA Sports, EA Vancouver ",SportsTeamSoccerSim
BioShock: The Collection,"

                                                        Xbox One
                                                    
",84,"
8.6
","
2K Games ",ActionMiscellaneousShooterCompilationFirst-PersonArcade
BlazBlue: Central Fiction,"

                                                        PlayStation 4
                                                    
",84,"
7.7
","
Arc System Works ",ActionFighting2D
Salt and Sanctuary,"

                                                        PlayStation 4
                                                    
",84,"
8.1
","
Ska Studios ",ActionPlatformer2DMetroidvania
